id,fleetId,rideHailManagerId,vehicleType,initialLocationX,initialLocationY,shifts,geofencePolygon
1,South SL Co,GlobalRHM,micro,420075.39470029,4485870.12113621,{14400:87300},"POLYGON ((417338.0275291884 4491847.446956298, 418108.1979252138 4491846.18524141, 418109.3762313738 4490630.134741561, 419838.8052144668 4490618.585409936, 421350.0155343504 4490588.01858732, 422726.5399017544 4490182.724708106, 423569.4601002677 4490174.040280554, 423588.0716320346 4490571.992513065, 423458.3349381277 4491384.021723831, 424671.7983333877 4491386.140046406, 425226.8722508642 4491308.173403593, 426160.4432455017 4491295.251272545, 426823.0988517914 4491071.576409098, 427663.9642602714 4490487.916353226, 427881.3201262821 4490420.662813426, 428483.0658489942 4490273.711580511, 428549.2539347372 4489976.276608837, 428531.3968061043 4487731.965935253, 429153.6331264522 4487421.892763021, 429789.6163240647 4487408.643128505, 430486.1412560427 4487260.912822754, 430414.3835292176 4486971.906171181, 429960.2055017683 4486606.800166529, 428583.7779504872 4482562.993638529, 426522.5720459238 4481568.405863487, 423774.0690946617 4480305.763880949, 421216.731724534 4479317.366242262, 419166.6095099136 4479527.715577899, 417649.1328290488 4480515.639169827, 416148.552085886 4481677.510466538, 414741.3585200098 4480780.162880722, 413160.4442209598 4481247.741510092, 411533.178219922 4482701.80658598, 410739.2493905255 4485667.355221765, 410972.0605127985 4486895.947485135, 410996.4094495748 4488937.839405667, 411924.8182757601 4489998.382223861, 413799.3646371108 4491207.132833311, 415204.5826915518 4492088.538084406, 415740.215352063 4491908.760577783, 416437.4905105386 4491886.437105684, 417338.0275291884 4491847.446956298))"
2,South SL Co,GlobalRHM,micro,420075.39470029,4485870.12113621,{14400:87300},"POLYGON ((417338.0275291884 4491847.446956298, 418108.1979252138 4491846.18524141, 418109.3762313738 4490630.134741561, 419838.8052144668 4490618.585409936, 421350.0155343504 4490588.01858732, 422726.5399017544 4490182.724708106, 423569.4601002677 4490174.040280554, 423588.0716320346 4490571.992513065, 423458.3349381277 4491384.021723831, 424671.7983333877 4491386.140046406, 425226.8722508642 4491308.173403593, 426160.4432455017 4491295.251272545, 426823.0988517914 4491071.576409098, 427663.9642602714 4490487.916353226, 427881.3201262821 4490420.662813426, 428483.0658489942 4490273.711580511, 428549.2539347372 4489976.276608837, 428531.3968061043 4487731.965935253, 429153.6331264522 4487421.892763021, 429789.6163240647 4487408.643128505, 430486.1412560427 4487260.912822754, 430414.3835292176 4486971.906171181, 429960.2055017683 4486606.800166529, 428583.7779504872 4482562.993638529, 426522.5720459238 4481568.405863487, 423774.0690946617 4480305.763880949, 421216.731724534 4479317.366242262, 419166.6095099136 4479527.715577899, 417649.1328290488 4480515.639169827, 416148.552085886 4481677.510466538, 414741.3585200098 4480780.162880722, 413160.4442209598 4481247.741510092, 411533.178219922 4482701.80658598, 410739.2493905255 4485667.355221765, 410972.0605127985 4486895.947485135, 410996.4094495748 4488937.839405667, 411924.8182757601 4489998.382223861, 413799.3646371108 4491207.132833311, 415204.5826915518 4492088.538084406, 415740.215352063 4491908.760577783, 416437.4905105386 4491886.437105684, 417338.0275291884 4491847.446956298))"
3,South SL Co,GlobalRHM,micro,420075.39470029,4485870.12113621,{14400:87300},"POLYGON ((417338.0275291884 4491847.446956298, 418108.1979252138 4491846.18524141, 418109.3762313738 4490630.134741561, 419838.8052144668 4490618.585409936, 421350.0155343504 4490588.01858732, 422726.5399017544 4490182.724708106, 423569.4601002677 4490174.040280554, 423588.0716320346 4490571.992513065, 423458.3349381277 4491384.021723831, 424671.7983333877 4491386.140046406, 425226.8722508642 4491308.173403593, 426160.4432455017 4491295.251272545, 426823.0988517914 4491071.576409098, 427663.9642602714 4490487.916353226, 427881.3201262821 4490420.662813426, 428483.0658489942 4490273.711580511, 428549.2539347372 4489976.276608837, 428531.3968061043 4487731.965935253, 429153.6331264522 4487421.892763021, 429789.6163240647 4487408.643128505, 430486.1412560427 4487260.912822754, 430414.3835292176 4486971.906171181, 429960.2055017683 4486606.800166529, 428583.7779504872 4482562.993638529, 426522.5720459238 4481568.405863487, 423774.0690946617 4480305.763880949, 421216.731724534 4479317.366242262, 419166.6095099136 4479527.715577899, 417649.1328290488 4480515.639169827, 416148.552085886 4481677.510466538, 414741.3585200098 4480780.162880722, 413160.4442209598 4481247.741510092, 411533.178219922 4482701.80658598, 410739.2493905255 4485667.355221765, 410972.0605127985 4486895.947485135, 410996.4094495748 4488937.839405667, 411924.8182757601 4489998.382223861, 413799.3646371108 4491207.132833311, 415204.5826915518 4492088.538084406, 415740.215352063 4491908.760577783, 416437.4905105386 4491886.437105684, 417338.0275291884 4491847.446956298))"
4,South SL Co,GlobalRHM,micro,420075.39470029,4485870.12113621,{14400:87300},"POLYGON ((417338.0275291884 4491847.446956298, 418108.1979252138 4491846.18524141, 418109.3762313738 4490630.134741561, 419838.8052144668 4490618.585409936, 421350.0155343504 4490588.01858732, 422726.5399017544 4490182.724708106, 423569.4601002677 4490174.040280554, 423588.0716320346 4490571.992513065, 423458.3349381277 4491384.021723831, 424671.7983333877 4491386.140046406, 425226.8722508642 4491308.173403593, 426160.4432455017 4491295.251272545, 426823.0988517914 4491071.576409098, 427663.9642602714 4490487.916353226, 427881.3201262821 4490420.662813426, 428483.0658489942 4490273.711580511, 428549.2539347372 4489976.276608837, 428531.3968061043 4487731.965935253, 429153.6331264522 4487421.892763021, 429789.6163240647 4487408.643128505, 430486.1412560427 4487260.912822754, 430414.3835292176 4486971.906171181, 429960.2055017683 4486606.800166529, 428583.7779504872 4482562.993638529, 426522.5720459238 4481568.405863487, 423774.0690946617 4480305.763880949, 421216.731724534 4479317.366242262, 419166.6095099136 4479527.715577899, 417649.1328290488 4480515.639169827, 416148.552085886 4481677.510466538, 414741.3585200098 4480780.162880722, 413160.4442209598 4481247.741510092, 411533.178219922 4482701.80658598, 410739.2493905255 4485667.355221765, 410972.0605127985 4486895.947485135, 410996.4094495748 4488937.839405667, 411924.8182757601 4489998.382223861, 413799.3646371108 4491207.132833311, 415204.5826915518 4492088.538084406, 415740.215352063 4491908.760577783, 416437.4905105386 4491886.437105684, 417338.0275291884 4491847.446956298))"
5,South SL Co,GlobalRHM,micro,420075.39470029,4485870.12113621,{14400:87300},"POLYGON ((417338.0275291884 4491847.446956298, 418108.1979252138 4491846.18524141, 418109.3762313738 4490630.134741561, 419838.8052144668 4490618.585409936, 421350.0155343504 4490588.01858732, 422726.5399017544 4490182.724708106, 423569.4601002677 4490174.040280554, 423588.0716320346 4490571.992513065, 423458.3349381277 4491384.021723831, 424671.7983333877 4491386.140046406, 425226.8722508642 4491308.173403593, 426160.4432455017 4491295.251272545, 426823.0988517914 4491071.576409098, 427663.9642602714 4490487.916353226, 427881.3201262821 4490420.662813426, 428483.0658489942 4490273.711580511, 428549.2539347372 4489976.276608837, 428531.3968061043 4487731.965935253, 429153.6331264522 4487421.892763021, 429789.6163240647 4487408.643128505, 430486.1412560427 4487260.912822754, 430414.3835292176 4486971.906171181, 429960.2055017683 4486606.800166529, 428583.7779504872 4482562.993638529, 426522.5720459238 4481568.405863487, 423774.0690946617 4480305.763880949, 421216.731724534 4479317.366242262, 419166.6095099136 4479527.715577899, 417649.1328290488 4480515.639169827, 416148.552085886 4481677.510466538, 414741.3585200098 4480780.162880722, 413160.4442209598 4481247.741510092, 411533.178219922 4482701.80658598, 410739.2493905255 4485667.355221765, 410972.0605127985 4486895.947485135, 410996.4094495748 4488937.839405667, 411924.8182757601 4489998.382223861, 413799.3646371108 4491207.132833311, 415204.5826915518 4492088.538084406, 415740.215352063 4491908.760577783, 416437.4905105386 4491886.437105684, 417338.0275291884 4491847.446956298))"
6,South SL Co,GlobalRHM,micro,420075.39470029,4485870.12113621,{14400:87300},"POLYGON ((417338.0275291884 4491847.446956298, 418108.1979252138 4491846.18524141, 418109.3762313738 4490630.134741561, 419838.8052144668 4490618.585409936, 421350.0155343504 4490588.01858732, 422726.5399017544 4490182.724708106, 423569.4601002677 4490174.040280554, 423588.0716320346 4490571.992513065, 423458.3349381277 4491384.021723831, 424671.7983333877 4491386.140046406, 425226.8722508642 4491308.173403593, 426160.4432455017 4491295.251272545, 426823.0988517914 4491071.576409098, 427663.9642602714 4490487.916353226, 427881.3201262821 4490420.662813426, 428483.0658489942 4490273.711580511, 428549.2539347372 4489976.276608837, 428531.3968061043 4487731.965935253, 429153.6331264522 4487421.892763021, 429789.6163240647 4487408.643128505, 430486.1412560427 4487260.912822754, 430414.3835292176 4486971.906171181, 429960.2055017683 4486606.800166529, 428583.7779504872 4482562.993638529, 426522.5720459238 4481568.405863487, 423774.0690946617 4480305.763880949, 421216.731724534 4479317.366242262, 419166.6095099136 4479527.715577899, 417649.1328290488 4480515.639169827, 416148.552085886 4481677.510466538, 414741.3585200098 4480780.162880722, 413160.4442209598 4481247.741510092, 411533.178219922 4482701.80658598, 410739.2493905255 4485667.355221765, 410972.0605127985 4486895.947485135, 410996.4094495748 4488937.839405667, 411924.8182757601 4489998.382223861, 413799.3646371108 4491207.132833311, 415204.5826915518 4492088.538084406, 415740.215352063 4491908.760577783, 416437.4905105386 4491886.437105684, 417338.0275291884 4491847.446956298))"
7,South SL Co,GlobalRHM,micro,420075.39470029,4485870.12113621,{14400:87300},"POLYGON ((417338.0275291884 4491847.446956298, 418108.1979252138 4491846.18524141, 418109.3762313738 4490630.134741561, 419838.8052144668 4490618.585409936, 421350.0155343504 4490588.01858732, 422726.5399017544 4490182.724708106, 423569.4601002677 4490174.040280554, 423588.0716320346 4490571.992513065, 423458.3349381277 4491384.021723831, 424671.7983333877 4491386.140046406, 425226.8722508642 4491308.173403593, 426160.4432455017 4491295.251272545, 426823.0988517914 4491071.576409098, 427663.9642602714 4490487.916353226, 427881.3201262821 4490420.662813426, 428483.0658489942 4490273.711580511, 428549.2539347372 4489976.276608837, 428531.3968061043 4487731.965935253, 429153.6331264522 4487421.892763021, 429789.6163240647 4487408.643128505, 430486.1412560427 4487260.912822754, 430414.3835292176 4486971.906171181, 429960.2055017683 4486606.800166529, 428583.7779504872 4482562.993638529, 426522.5720459238 4481568.405863487, 423774.0690946617 4480305.763880949, 421216.731724534 4479317.366242262, 419166.6095099136 4479527.715577899, 417649.1328290488 4480515.639169827, 416148.552085886 4481677.510466538, 414741.3585200098 4480780.162880722, 413160.4442209598 4481247.741510092, 411533.178219922 4482701.80658598, 410739.2493905255 4485667.355221765, 410972.0605127985 4486895.947485135, 410996.4094495748 4488937.839405667, 411924.8182757601 4489998.382223861, 413799.3646371108 4491207.132833311, 415204.5826915518 4492088.538084406, 415740.215352063 4491908.760577783, 416437.4905105386 4491886.437105684, 417338.0275291884 4491847.446956298))"
8,South SL Co,GlobalRHM,micro,420075.39470029,4485870.12113621,{14400:87300},"POLYGON ((417338.0275291884 4491847.446956298, 418108.1979252138 4491846.18524141, 418109.3762313738 4490630.134741561, 419838.8052144668 4490618.585409936, 421350.0155343504 4490588.01858732, 422726.5399017544 4490182.724708106, 423569.4601002677 4490174.040280554, 423588.0716320346 4490571.992513065, 423458.3349381277 4491384.021723831, 424671.7983333877 4491386.140046406, 425226.8722508642 4491308.173403593, 426160.4432455017 4491295.251272545, 426823.0988517914 4491071.576409098, 427663.9642602714 4490487.916353226, 427881.3201262821 4490420.662813426, 428483.0658489942 4490273.711580511, 428549.2539347372 4489976.276608837, 428531.3968061043 4487731.965935253, 429153.6331264522 4487421.892763021, 429789.6163240647 4487408.643128505, 430486.1412560427 4487260.912822754, 430414.3835292176 4486971.906171181, 429960.2055017683 4486606.800166529, 428583.7779504872 4482562.993638529, 426522.5720459238 4481568.405863487, 423774.0690946617 4480305.763880949, 421216.731724534 4479317.366242262, 419166.6095099136 4479527.715577899, 417649.1328290488 4480515.639169827, 416148.552085886 4481677.510466538, 414741.3585200098 4480780.162880722, 413160.4442209598 4481247.741510092, 411533.178219922 4482701.80658598, 410739.2493905255 4485667.355221765, 410972.0605127985 4486895.947485135, 410996.4094495748 4488937.839405667, 411924.8182757601 4489998.382223861, 413799.3646371108 4491207.132833311, 415204.5826915518 4492088.538084406, 415740.215352063 4491908.760577783, 416437.4905105386 4491886.437105684, 417338.0275291884 4491847.446956298))"
9,South SL Co,GlobalRHM,micro,420075.39470029,4485870.12113621,{14400:87300},"POLYGON ((417338.0275291884 4491847.446956298, 418108.1979252138 4491846.18524141, 418109.3762313738 4490630.134741561, 419838.8052144668 4490618.585409936, 421350.0155343504 4490588.01858732, 422726.5399017544 4490182.724708106, 423569.4601002677 4490174.040280554, 423588.0716320346 4490571.992513065, 423458.3349381277 4491384.021723831, 424671.7983333877 4491386.140046406, 425226.8722508642 4491308.173403593, 426160.4432455017 4491295.251272545, 426823.0988517914 4491071.576409098, 427663.9642602714 4490487.916353226, 427881.3201262821 4490420.662813426, 428483.0658489942 4490273.711580511, 428549.2539347372 4489976.276608837, 428531.3968061043 4487731.965935253, 429153.6331264522 4487421.892763021, 429789.6163240647 4487408.643128505, 430486.1412560427 4487260.912822754, 430414.3835292176 4486971.906171181, 429960.2055017683 4486606.800166529, 428583.7779504872 4482562.993638529, 426522.5720459238 4481568.405863487, 423774.0690946617 4480305.763880949, 421216.731724534 4479317.366242262, 419166.6095099136 4479527.715577899, 417649.1328290488 4480515.639169827, 416148.552085886 4481677.510466538, 414741.3585200098 4480780.162880722, 413160.4442209598 4481247.741510092, 411533.178219922 4482701.80658598, 410739.2493905255 4485667.355221765, 410972.0605127985 4486895.947485135, 410996.4094495748 4488937.839405667, 411924.8182757601 4489998.382223861, 413799.3646371108 4491207.132833311, 415204.5826915518 4492088.538084406, 415740.215352063 4491908.760577783, 416437.4905105386 4491886.437105684, 417338.0275291884 4491847.446956298))"
10,South SL Co,GlobalRHM,micro,420075.39470029,4485870.12113621,{14400:87300},"POLYGON ((417338.0275291884 4491847.446956298, 418108.1979252138 4491846.18524141, 418109.3762313738 4490630.134741561, 419838.8052144668 4490618.585409936, 421350.0155343504 4490588.01858732, 422726.5399017544 4490182.724708106, 423569.4601002677 4490174.040280554, 423588.0716320346 4490571.992513065, 423458.3349381277 4491384.021723831, 424671.7983333877 4491386.140046406, 425226.8722508642 4491308.173403593, 426160.4432455017 4491295.251272545, 426823.0988517914 4491071.576409098, 427663.9642602714 4490487.916353226, 427881.3201262821 4490420.662813426, 428483.0658489942 4490273.711580511, 428549.2539347372 4489976.276608837, 428531.3968061043 4487731.965935253, 429153.6331264522 4487421.892763021, 429789.6163240647 4487408.643128505, 430486.1412560427 4487260.912822754, 430414.3835292176 4486971.906171181, 429960.2055017683 4486606.800166529, 428583.7779504872 4482562.993638529, 426522.5720459238 4481568.405863487, 423774.0690946617 4480305.763880949, 421216.731724534 4479317.366242262, 419166.6095099136 4479527.715577899, 417649.1328290488 4480515.639169827, 416148.552085886 4481677.510466538, 414741.3585200098 4480780.162880722, 413160.4442209598 4481247.741510092, 411533.178219922 4482701.80658598, 410739.2493905255 4485667.355221765, 410972.0605127985 4486895.947485135, 410996.4094495748 4488937.839405667, 411924.8182757601 4489998.382223861, 413799.3646371108 4491207.132833311, 415204.5826915518 4492088.538084406, 415740.215352063 4491908.760577783, 416437.4905105386 4491886.437105684, 417338.0275291884 4491847.446956298))"
11,South SL Co,GlobalRHM,micro,420075.39470029,4485870.12113621,{14400:87300},"POLYGON ((417338.0275291884 4491847.446956298, 418108.1979252138 4491846.18524141, 418109.3762313738 4490630.134741561, 419838.8052144668 4490618.585409936, 421350.0155343504 4490588.01858732, 422726.5399017544 4490182.724708106, 423569.4601002677 4490174.040280554, 423588.0716320346 4490571.992513065, 423458.3349381277 4491384.021723831, 424671.7983333877 4491386.140046406, 425226.8722508642 4491308.173403593, 426160.4432455017 4491295.251272545, 426823.0988517914 4491071.576409098, 427663.9642602714 4490487.916353226, 427881.3201262821 4490420.662813426, 428483.0658489942 4490273.711580511, 428549.2539347372 4489976.276608837, 428531.3968061043 4487731.965935253, 429153.6331264522 4487421.892763021, 429789.6163240647 4487408.643128505, 430486.1412560427 4487260.912822754, 430414.3835292176 4486971.906171181, 429960.2055017683 4486606.800166529, 428583.7779504872 4482562.993638529, 426522.5720459238 4481568.405863487, 423774.0690946617 4480305.763880949, 421216.731724534 4479317.366242262, 419166.6095099136 4479527.715577899, 417649.1328290488 4480515.639169827, 416148.552085886 4481677.510466538, 414741.3585200098 4480780.162880722, 413160.4442209598 4481247.741510092, 411533.178219922 4482701.80658598, 410739.2493905255 4485667.355221765, 410972.0605127985 4486895.947485135, 410996.4094495748 4488937.839405667, 411924.8182757601 4489998.382223861, 413799.3646371108 4491207.132833311, 415204.5826915518 4492088.538084406, 415740.215352063 4491908.760577783, 416437.4905105386 4491886.437105684, 417338.0275291884 4491847.446956298))"
12,South SL Co,GlobalRHM,micro,420075.39470029,4485870.12113621,{14400:87300},"POLYGON ((417338.0275291884 4491847.446956298, 418108.1979252138 4491846.18524141, 418109.3762313738 4490630.134741561, 419838.8052144668 4490618.585409936, 421350.0155343504 4490588.01858732, 422726.5399017544 4490182.724708106, 423569.4601002677 4490174.040280554, 423588.0716320346 4490571.992513065, 423458.3349381277 4491384.021723831, 424671.7983333877 4491386.140046406, 425226.8722508642 4491308.173403593, 426160.4432455017 4491295.251272545, 426823.0988517914 4491071.576409098, 427663.9642602714 4490487.916353226, 427881.3201262821 4490420.662813426, 428483.0658489942 4490273.711580511, 428549.2539347372 4489976.276608837, 428531.3968061043 4487731.965935253, 429153.6331264522 4487421.892763021, 429789.6163240647 4487408.643128505, 430486.1412560427 4487260.912822754, 430414.3835292176 4486971.906171181, 429960.2055017683 4486606.800166529, 428583.7779504872 4482562.993638529, 426522.5720459238 4481568.405863487, 423774.0690946617 4480305.763880949, 421216.731724534 4479317.366242262, 419166.6095099136 4479527.715577899, 417649.1328290488 4480515.639169827, 416148.552085886 4481677.510466538, 414741.3585200098 4480780.162880722, 413160.4442209598 4481247.741510092, 411533.178219922 4482701.80658598, 410739.2493905255 4485667.355221765, 410972.0605127985 4486895.947485135, 410996.4094495748 4488937.839405667, 411924.8182757601 4489998.382223861, 413799.3646371108 4491207.132833311, 415204.5826915518 4492088.538084406, 415740.215352063 4491908.760577783, 416437.4905105386 4491886.437105684, 417338.0275291884 4491847.446956298))"
